Craving Type,Cuisine,Mood Associated,Description,Food Name
Warm,Western,Cozy/Winter,Warm milk with chocolate #754,Hot Chocolate
Salty,American,Snack Craving,Fried potato sticks with salt #196,French Fries
Crunchy,Indian,Rainy Day,Fried vegetable fritters #200,Pakora
Comfort,Western,Low Mood,"Creamy, cheesy pasta #475",Mac & Cheese
Crunchy,Indian,Rainy Day,Fried vegetable fritters #644,Pakora
Crunchy,Indian,Rainy Day,Fried vegetable fritters #157,Pakora
Cold,Various,Tired/Hot Day,Coffee served over ice #957,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #406",Fried Chicken
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #297,Gulab Jamun
Comfort,Western,Low Mood,"Creamy, cheesy pasta #777",Mac & Cheese
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #96,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #9,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #292",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #252",Spicy Ramen
Comfort,Western,Low Mood,"Creamy, cheesy pasta #859",Mac & Cheese
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #412,Nachos
Crunchy,Indian,Rainy Day,Fried vegetable fritters #624,Pakora
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #460,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #267,Gulab Jamun
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #614,Khichdi
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #557",Spicy Ramen
Sweet,Western,Comfort,Rich chocolate dessert #269,Chocolate Cake
Crunchy,Indian,Rainy Day,Fried vegetable fritters #218,Pakora
Salty,American,Snack Craving,Fried potato sticks with salt #133,French Fries
Salty,American,Snack Craving,Fried potato sticks with salt #723,French Fries
Warm,Western,Cozy/Winter,Warm milk with chocolate #456,Hot Chocolate
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #412,Khichdi
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #186",Tomato Soup
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #412",Sour Candy
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #405",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #714,Ice Cream
Warm,Western,Cozy/Winter,Warm milk with chocolate #141,Hot Chocolate
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #679",Lemon Pickle
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #659",Lemon Pickle
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #96",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #309,Nachos
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #769",Lemon Pickle
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #153",Fried Chicken
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #565",Tomato Soup
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #427",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #521,Ice Cream
Sweet,Western,Comfort,Rich chocolate dessert #750,Chocolate Cake
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #80,Nachos
Cold,Various,Tired/Hot Day,Coffee served over ice #431,Cold Coffee
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #776,Nachos
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #705",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #367,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #913,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #651",Fried Chicken
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #698,Nachos
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #146",Lemon Pickle
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #574,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #953,Gulab Jamun
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #890,Chicken 65
Crunchy,Indian,Rainy Day,Fried vegetable fritters #430,Pakora
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #505",Tomato Soup
Salty,American,Snack Craving,Fried potato sticks with salt #47,French Fries
Salty,American,Snack Craving,Fried potato sticks with salt #66,French Fries
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #33",Tomato Soup
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #520",Fried Chicken
Crunchy,Indian,Rainy Day,Fried vegetable fritters #478,Pakora
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #743",Lemon Pickle
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #157",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #378,Cold Coffee
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #712,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #20,Cold Coffee
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #826",Sour Candy
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #919",Fried Chicken
Crunchy,Indian,Rainy Day,Fried vegetable fritters #424,Pakora
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #518",Lemon Pickle
Salty,American,Snack Craving,Fried potato sticks with salt #958,French Fries
Cold,Various,Tired/Hot Day,Coffee served over ice #117,Cold Coffee
Cold,Various,Happy/Chill,Frozen sweet treat #919,Ice Cream
Salty,American,Snack Craving,Fried potato sticks with salt #394,French Fries
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #463",Fried Chicken
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #631",Tomato Soup
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #889",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #656",Sour Candy
Warm,Western,Cozy/Winter,Warm milk with chocolate #769,Hot Chocolate
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #969",Sour Candy
Salty,American,Snack Craving,Fried potato sticks with salt #769,French Fries
Sweet,Western,Comfort,Rich chocolate dessert #551,Chocolate Cake
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #472,Chicken 65
Crunchy,Indian,Rainy Day,Fried vegetable fritters #432,Pakora
Cold,Various,Happy/Chill,Frozen sweet treat #185,Ice Cream
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #470,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #701,Cold Coffee
Salty,American,Snack Craving,Fried potato sticks with salt #446,French Fries
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #578,Gulab Jamun
Comfort,Western,Low Mood,"Creamy, cheesy pasta #509",Mac & Cheese
Salty,American,Snack Craving,Fried potato sticks with salt #359,French Fries
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #503",Spicy Ramen
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #238",Tomato Soup
Sweet,Western,Comfort,Rich chocolate dessert #304,Chocolate Cake
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #755",Lemon Pickle
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #661",Tomato Soup
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #301,Gulab Jamun
Warm,Western,Cozy/Winter,Warm milk with chocolate #42,Hot Chocolate
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #267",Sour Candy
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #732,Chicken 65
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #493,Khichdi
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #284",Tomato Soup
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #468",Fried Chicken
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #45",Tomato Soup
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #842,Gulab Jamun
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #210",Fried Chicken
Comfort,Western,Low Mood,"Creamy, cheesy pasta #705",Mac & Cheese
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #322",Sour Candy
Cold,Various,Tired/Hot Day,Coffee served over ice #566,Cold Coffee
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #127",Sour Candy
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #236",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #642,Chicken 65
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #520,Nachos
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #572",Lemon Pickle
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #529,Khichdi
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #319",Tomato Soup
Warm,Western,Cozy/Winter,Warm milk with chocolate #553,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #48,Chicken 65
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #205",Fried Chicken
Sweet,Western,Comfort,Rich chocolate dessert #183,Chocolate Cake
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #915",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #846",Lemon Pickle
Warm,Western,Cozy/Winter,Warm milk with chocolate #650,Hot Chocolate
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #881",Spicy Ramen
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #715,Khichdi
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #676",Spicy Ramen
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #190,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #781",Sour Candy
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #645,Nachos
Salty,American,Snack Craving,Fried potato sticks with salt #459,French Fries
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #293,Gulab Jamun
Cold,Various,Tired/Hot Day,Coffee served over ice #345,Cold Coffee
Warm,Western,Cozy/Winter,Warm milk with chocolate #250,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #563,Chicken 65
Salty,American,Snack Craving,Fried potato sticks with salt #381,French Fries
Sweet,Western,Comfort,Rich chocolate dessert #635,Chocolate Cake
Cold,Various,Happy/Chill,Frozen sweet treat #769,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #146",Sour Candy
Warm,Western,Cozy/Winter,Warm milk with chocolate #493,Hot Chocolate
Salty,American,Snack Craving,Fried potato sticks with salt #255,French Fries
Cold,Various,Happy/Chill,Frozen sweet treat #583,Ice Cream
Crunchy,Indian,Rainy Day,Fried vegetable fritters #133,Pakora
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #699,Chicken 65
Salty,American,Snack Craving,Fried potato sticks with salt #721,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #247,Chicken 65
Salty,American,Snack Craving,Fried potato sticks with salt #844,French Fries
Sweet,Western,Comfort,Rich chocolate dessert #331,Chocolate Cake
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #913",Sour Candy
Cold,Various,Tired/Hot Day,Coffee served over ice #770,Cold Coffee
Salty,American,Snack Craving,Fried potato sticks with salt #667,French Fries
Crunchy,Indian,Rainy Day,Fried vegetable fritters #953,Pakora
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #724",Lemon Pickle
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #302,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #972",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #179",Lemon Pickle
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #505",Spicy Ramen
Comfort,Western,Low Mood,"Creamy, cheesy pasta #215",Mac & Cheese
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #657",Fried Chicken
Salty,American,Snack Craving,Fried potato sticks with salt #879,French Fries
Cold,Various,Tired/Hot Day,Coffee served over ice #765,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #416",Fried Chicken
Warm,Western,Cozy/Winter,Warm milk with chocolate #193,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #695,Chicken 65
Comfort,Western,Low Mood,"Creamy, cheesy pasta #373",Mac & Cheese
Cold,Various,Happy/Chill,Frozen sweet treat #369,Ice Cream
Comfort,Western,Low Mood,"Creamy, cheesy pasta #907",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #205,Hot Chocolate
Salty,American,Snack Craving,Fried potato sticks with salt #263,French Fries
Crunchy,Indian,Rainy Day,Fried vegetable fritters #317,Pakora
Sweet,Western,Comfort,Rich chocolate dessert #49,Chocolate Cake
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #290",Lemon Pickle
Comfort,Western,Low Mood,"Creamy, cheesy pasta #473",Mac & Cheese
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #542",Lemon Pickle
Sweet,Western,Comfort,Rich chocolate dessert #73,Chocolate Cake
Salty,American,Snack Craving,Fried potato sticks with salt #920,French Fries
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #499",Spicy Ramen
Sweet,Western,Comfort,Rich chocolate dessert #680,Chocolate Cake
Comfort,Western,Low Mood,"Creamy, cheesy pasta #405",Mac & Cheese
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #172,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #972,Gulab Jamun
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #402",Spicy Ramen
Comfort,Western,Low Mood,"Creamy, cheesy pasta #370",Mac & Cheese
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #728",Tomato Soup
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #17,Chicken 65
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #441",Lemon Pickle
Salty,American,Snack Craving,Fried potato sticks with salt #79,French Fries
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #999",Sour Candy
Crunchy,Indian,Rainy Day,Fried vegetable fritters #352,Pakora
Cold,Various,Happy/Chill,Frozen sweet treat #686,Ice Cream
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #740",Spicy Ramen
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #179",Spicy Ramen
Sweet,Western,Comfort,Rich chocolate dessert #595,Chocolate Cake
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #814",Lemon Pickle
Cold,Various,Tired/Hot Day,Coffee served over ice #695,Cold Coffee
Salty,American,Snack Craving,Fried potato sticks with salt #995,French Fries
Cold,Various,Happy/Chill,Frozen sweet treat #4,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #828",Sour Candy
Sweet,Western,Comfort,Rich chocolate dessert #543,Chocolate Cake
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #391",Lemon Pickle
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #124",Sour Candy
Cold,Various,Tired/Hot Day,Coffee served over ice #629,Cold Coffee
Crunchy,Indian,Rainy Day,Fried vegetable fritters #869,Pakora
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #813",Spicy Ramen
Sweet,Western,Comfort,Rich chocolate dessert #616,Chocolate Cake
Sweet,Western,Comfort,Rich chocolate dessert #852,Chocolate Cake
Crunchy,Indian,Rainy Day,Fried vegetable fritters #472,Pakora
Comfort,Western,Low Mood,"Creamy, cheesy pasta #273",Mac & Cheese
Salty,American,Snack Craving,Fried potato sticks with salt #952,French Fries
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #336",Lemon Pickle
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #256",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #770",Spicy Ramen
Crunchy,Indian,Rainy Day,Fried vegetable fritters #8,Pakora
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #698",Tomato Soup
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #920",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #813,Cold Coffee
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #760",Tomato Soup
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #992,Gulab Jamun
Cold,Various,Tired/Hot Day,Coffee served over ice #486,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #531",Fried Chicken
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #199",Lemon Pickle
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #890,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #938,Nachos
Cold,Various,Happy/Chill,Frozen sweet treat #856,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #570",Tomato Soup
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #691,Gulab Jamun
Sweet,Western,Comfort,Rich chocolate dessert #662,Chocolate Cake
Warm,Western,Cozy/Winter,Warm milk with chocolate #72,Hot Chocolate
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #470",Spicy Ramen
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #26,Chicken 65
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #619",Fried Chicken
Salty,American,Snack Craving,Fried potato sticks with salt #916,French Fries
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #742",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #687",Fried Chicken
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #748",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #100,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #533",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #709,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #279,Cold Coffee
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #271",Lemon Pickle
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #277",Fried Chicken
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #660",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #891,Nachos
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #287",Fried Chicken
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #373",Lemon Pickle
Salty,American,Snack Craving,Fried potato sticks with salt #216,French Fries
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #323,Khichdi
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #796",Tomato Soup
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #667",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #583,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #495,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #127,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #729,Nachos
Cold,Various,Happy/Chill,Frozen sweet treat #131,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #18",Tomato Soup
Comfort,Western,Low Mood,"Creamy, cheesy pasta #349",Mac & Cheese
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #903",Sour Candy
Comfort,Western,Low Mood,"Creamy, cheesy pasta #778",Mac & Cheese
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #332",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #912",Sour Candy
Cold,Various,Happy/Chill,Frozen sweet treat #222,Ice Cream
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #235",Fried Chicken
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #353,Khichdi
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #450",Tomato Soup
Cold,Various,Happy/Chill,Frozen sweet treat #254,Ice Cream
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #167",Lemon Pickle
Comfort,Western,Low Mood,"Creamy, cheesy pasta #809",Mac & Cheese
